Ruslan.vsk Ruslan Cal 03.csv
frame_id   2630, param1 -040, param2 0128
frame_id   2631, param1 -048, param2 0133
frame_id   2632, param1 -063, param2 0157
frame_id   2633, param1 -080, param2 0202
frame_id   2634, param1 -087, param2 0229
frame_id   2635, param1 -090, param2 0240
frame_id   2636, param1 -086, param2 0230
frame_id   2637, param1 -068, param2 0176
frame_id   2638, param1 -084, param2 0080
frame_id   2639, param1 -097, param2 0141
frame_id   2640, param1 -071, param2 0197
frame_id   2641, param1 -055, param2 0196
frame_id   2642, param1 -053, param2 0196
frame_id   2643, param1 -052, param2 0200
frame_id   2644, param1 -049, param2 0216
frame_id   2645, param1 -052, param2 0215
frame_id   2646, param1 -055, param2 0213
frame_id   2647, param1 -056, param2 0215
frame_id   2648, param1 -057, param2 0217
frame_id   2649, param1 -058, param2 0220
frame_id   2650, param1 -059, param2 0223
frame_id   2651, param1 -058, param2 0227
frame_id   2652, param1 -059, param2 0228
frame_id   2653, param1 -060, param2 0230
frame_id   2654, param1 -061, param2 0231
frame_id   2655, param1 -062, param2 0232
frame_id   2656, param1 -062, param2 0233
frame_id   2657, param1 -063, param2 0234
frame_id   2658, param1 -064, param2 0234
frame_id   2659, param1 -065, param2 0234
frame_id   2660, param1 -065, param2 0235
frame_id   2661, param1 -066, param2 0235
frame_id   2662, param1 -066, param2 0235
frame_id   2663, param1 -067, param2 0236
frame_id   2664, param1 -067, param2 0236
frame_id   2665, param1 -068, param2 0237
frame_id   2666, param1 -068, param2 0237
frame_id   2667, param1 -069, param2 0237
frame_id   2668, param1 -069, param2 0237
frame_id   2669, param1 -070, param2 0237
frame_id   2670, param1 -070, param2 0237
frame_id   2671, param1 -070, param2 0237
frame_id   2672, param1 -071, param2 0237
frame_id   2673, param1 -072, param2 0237
frame_id   2674, param1 -072, param2 0237
frame_id   2675, param1 -073, param2 0237
frame_id   2676, param1 -073, param2 0237
frame_id   2677, param1 -074, param2 0237
frame_id   2678, param1 -074, param2 0237
frame_id   2679, param1 -075, param2 0238
frame_id   2680, param1 -075, param2 0238
frame_id   2681, param1 -076, param2 0238
frame_id   2682, param1 -077, param2 0238
frame_id   2683, param1 -077, param2 0238
frame_id   2684, param1 -078, param2 0237
frame_id   2685, param1 -078, param2 0237
frame_id   2686, param1 -078, param2 0237
frame_id   2687, param1 -079, param2 0236
frame_id   2688, param1 -079, param2 0236
frame_id   2689, param1 -079, param2 0236
frame_id   2690, param1 -079, param2 0235
frame_id   2691, param1 -079, param2 0236
frame_id   2692, param1 -079, param2 0236
frame_id   2693, param1 -079, param2 0235
frame_id   2694, param1 -079, param2 0236
frame_id   2695, param1 -079, param2 0236
frame_id   2696, param1 -079, param2 0236
frame_id   2697, param1 -079, param2 0235
frame_id   2698, param1 -079, param2 0235
frame_id   2699, param1 -078, param2 0236
frame_id   2700, param1 -078, param2 0236
frame_id   2701, param1 -078, param2 0236
frame_id   2702, param1 -078, param2 0236
frame_id   2703, param1 -077, param2 0236
frame_id   2704, param1 -077, param2 0236
frame_id   2705, param1 -077, param2 0236
frame_id   2706, param1 -076, param2 0242
frame_id   2707, param1 -075, param2 0208
frame_id   2708, param1 -075, param2 0205
frame_id   2709, param1 -074, param2 0204
frame_id   2710, param1 -074, param2 0205
frame_id   2711, param1 -073, param2 0205
frame_id   2712, param1 -072, param2 0204
frame_id   2713, param1 -071, param2 0204
frame_id   2714, param1 -071, param2 0203
