Position x, Position y, Velocity x, Velocity y
0.0002, 0.0001, 0.0378, 0.0087
0.0006, 0.0001, 0.0249, 0.0058
0.0007, 0.0002, 0.0237, 0.0055
0.0008, 0.0002, 0.0209, 0.0048
0.0009, 0.0002, 0.0180, 0.0041
0.0011, 0.0003, 0.0107, 0.0025
0.0012, 0.0003, 0.0055, 0.0013
0.0012, 0.0003, 0.0019, 0.0004
0.0012, 0.0003, 0.0016, 0.0004
0.0012, 0.0003, 0.0007, 0.0002
0.0012, 0.0003, 0.0000, 0.0000
0.0012, 0.0003, -0.0018, -0.0004
0.0012, 0.0003, -0.0020, -0.0005
0.0012, 0.0003, -0.0024, -0.0006
0.0012, 0.0003, -0.0027, -0.0006
0.0011, 0.0003, -0.0035, -0.0008
0.0010, 0.0002, -0.0040, -0.0009
0.0010, 0.0002, -0.0040, -0.0009
0.0010, 0.0002, -0.0041, -0.0009
0.0010, 0.0002, -0.0041, -0.0010
0.0009, 0.0002, -0.0042, -0.0010
0.0008, 0.0002, -0.0042, -0.0010
0.0008, 0.0002, -0.0041, -0.0010
0.0008, 0.0002, -0.0041, -0.0009
0.0008, 0.0002, -0.0040, -0.0009
0.0007, 0.0002, -0.0039, -0.0009
0.0007, 0.0002, -0.0036, -0.0008
0.0006, 0.0001, -0.0036, -0.0008
0.0006, 0.0001, -0.0035, -0.0008
0.0006, 0.0001, -0.0034, -0.0008
0.0005, 0.0001, -0.0032, -0.0007
0.0005, 0.0001, -0.0032, -0.0007
0.0005, 0.0001, -0.0031, -0.0007
0.0005, 0.0001, -0.0030, -0.0007
0.0005, 0.0001, -0.0027, -0.0006
0.0005, 0.0001, -0.0027, -0.0006
0.0004, 0.0001, -0.0026, -0.0006
0.0004, 0.0001, -0.0026, -0.0006
0.0004, 0.0001, -0.0023, -0.0005
0.0003, 0.0001, -0.0021, -0.0005
0.0003, 0.0001, -0.0021, -0.0005
0.0003, 0.0001, -0.0020, -0.0005
0.0003, 0.0001, -0.0018, -0.0004
0.0003, 0.0001, -0.0018, -0.0004
0.0003, 0.0001, -0.0017, -0.0004
0.0002, 0.0001, -0.0015, -0.0003
0.0002, 0.0001, -0.0014, -0.0003
0.0002, 0.0000, -0.0012, -0.0003
0.0002, 0.0000, -0.0012, -0.0003
0.0002, 0.0000, -0.0012, -0.0003
