Position x, Position y, Velocity x, Velocity y
0.0000, 0.0000, 0.0000, 0.0005
0.0000, 0.0000, 0.0000, 0.0004
0.0000, 0.0000, 0.0000, 0.0003
0.0000, 0.0000, 0.0000, 0.0003
0.0000, 0.0000, 0.0000, 0.0002
0.0000, 0.0000, 0.0000, 0.0002
0.0000, 0.0000, 0.0000, 0.0001
0.0000, 0.0000, 0.0000, 0.0001
0.0000, 0.0000, 0.0000, 0.0001
0.0000, 0.0000, 0.0000, 0.0001
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0001, 0.0000, 0.0074
0.0000, 0.0002, 0.0000, 0.0081
0.0000, 0.0002, 0.0000, 0.0100
0.0000, 0.0003, 0.0000, 0.0114
0.0000, 0.0005, 0.0000, 0.0146
0.0000, 0.0006, 0.0000, 0.0148
0.0000, 0.0007, 0.0000, 0.0154
0.0000, 0.0007, 0.0000, 0.0159
0.0000, 0.0010, 0.0000, 0.0170
-0.0004, 0.0013, -0.0224, 0.0173
-0.0005, 0.0014, -0.0460, 0.0172
-0.0012, 0.0015, -0.1108, 0.0144
-0.0067, 0.0016, -0.3332, 0.0075
-0.0081, 0.0016, -0.4161, 0.0053
-0.0239, 0.0015, -0.9540, -0.0054
-0.0518, 0.0013, -1.6849, -0.0142
-0.0577, 0.0012, -1.8773, -0.0155
-0.0722, 0.0011, -2.2950, -0.0153
-0.0870, 0.0011, -2.6347, -0.0106
-0.1459, 0.0012, -3.5595, 0.0072
-0.1621, 0.0012, -3.7379, 0.0141
-0.1864, 0.0014, -3.9709, 0.0243
-0.2614, 0.0022, -4.5258, 0.0472
-0.2740, 0.0023, -4.5840, 0.0509
-0.3553, 0.0035, -4.9067, 0.0709
-0.3711, 0.0037, -4.9354, 0.0739
-0.3988, 0.0042, -4.9755, 0.0784
-0.4293, 0.0047, -5.0020, 0.0826
-0.5125, 0.0062, -5.0239, 0.0921
-0.5297, 0.0065, -5.0021, 0.0931
-0.5606, 0.0071, -4.9539, 0.0946
-0.6399, 0.0087, -4.7880, 0.0973
-0.6528, 0.0090, -4.7459, 0.0973
-0.7270, 0.0106, -4.4770, 0.0967
-0.7956, 0.0121, -4.1421, 0.0937
-0.8047, 0.0123, -4.0913, 0.0931
-0.8263, 0.0128, -3.7163, 0.0859
-0.8465, 0.0133, -3.3644, 0.0792
-0.8876, 0.0143, -2.4782, 0.0620
-0.9178, 0.0152, -1.8244, 0.0489
-0.9231, 0.0153, -1.7354, 0.0471
-0.9330, 0.0156, -1.5585, 0.0435
-0.9519, 0.0162, -1.1417, 0.0351
-0.9552, 0.0163, -1.0867, 0.0340
-0.9683, 0.0167, -0.7932, 0.0286
-0.9779, 0.0171, -0.5774, 0.0222
-0.9848, 0.0173, -0.4189, 0.0126
-0.9859, 0.0173, -0.3993, 0.0088
-0.9881, 0.0173, -0.3589, -0.0002
-0.9923, 0.0170, -0.2578, -0.0216
-0.9931, 0.0169, -0.2432, -0.0252
-0.9960, 0.0162, -0.1728, -0.0421
-0.9924, 0.0152, 0.2151, -0.0592
-0.9910, 0.0150, 0.4390, -0.0618
-0.9837, 0.0146, 1.0525, -0.0638
-0.9391, 0.0136, 2.6879, -0.0600
-0.9285, 0.0134, 3.0911, -0.0544
-0.8423, 0.0132, 5.2011, -0.0132
-0.8220, 0.0132, 5.6118, -0.0036
-0.7805, 0.0133, 6.3196, 0.0151
-0.6492, 0.0142, 7.9262, 0.0574
-0.6226, 0.0144, 8.1518, 0.0635
-0.4698, 0.0160, 9.2194, 0.0937
-0.3061, 0.0178, 9.8826, 0.1097
-0.2737, 0.0181, 9.9435, 0.1090
-0.2044, 0.0189, 10.0482, 0.1043
-0.0358, 0.0204, 10.1789, 0.0920
-0.0033, 0.0207, 10.1515, 0.0883
0.1618, 0.0217, 9.9656, 0.0628
0.1922, 0.0219, 9.8911, 0.0574
0.2556, 0.0222, 9.7203, 0.0429
0.4083, 0.0222, 9.2199, 0.0054
0.4377, 0.0222, 9.0938, -0.0027
0.5773, 0.0215, 8.4255, -0.0452
0.7042, 0.0201, 7.6597, -0.0840
0.7276, 0.0198, 7.5039, -0.0900
0.7699, 0.0192, 7.2078, -0.1016
0.7979, 0.0188, 7.0020, -0.1088
0.8997, 0.0165, 6.1431, -0.1366
0.9702, 0.0143, 4.2571, -0.1336
0.9999, 0.0119, 2.8909, -0.1304
0.9999, 0.0115, 2.7174, -0.1293
0.9999, 0.0106, 2.4274, -0.1273
1.0000, 0.0098, 2.1354, -0.1248
1.0000, 0.0076, 1.4278, -0.1174
1.0000, 0.0073, 1.3595, -0.1162
1.0000, 0.0067, 1.2121, -0.1136
1.0000, 0.0060, 1.0663, -0.1106
1.0000, 0.0042, 0.7129, -0.1023
1.0000, 0.0026, 0.4766, -0.0941
1.0000, 0.0024, 0.4559, -0.0931
1.0000, 0.0019, 0.4035, -0.0904
1.0000, 0.0014, 0.3557, -0.0876
1.0000, 0.0001, 0.2377, -0.0801
1.0000, -0.0011, 0.1588, -0.0731
1.0000, -0.0013, 0.1515, -0.0722
1.0000, -0.0017, 0.1345, -0.0700
1.0000, -0.0021, 0.1181, -0.0677
1.0000, -0.0031, 0.0788, -0.0615
1.0000, -0.0040, 0.0526, -0.0559
1.0000, -0.0042, 0.0503, -0.0552
1.0000, -0.0045, 0.0445, -0.0535
1.0000, -0.0048, 0.0392, -0.0517
1.0000, -0.0055, 0.0261, -0.0469
1.0000, -0.0062, 0.0174, -0.0425
