Position x, Position y, Velocity x, Velocity y
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0033, 0.0000, 0.4981, 0.0000
0.0100, 0.0000, 0.4024, 0.0000
0.0233, 0.0000, 3.4844, 0.0000
0.0300, 0.0000, 0.4024, 0.0000
0.0600, 0.0000, 1.8108, 0.0000
0.0900, 0.0000, 9.2058, 0.0000
0.1033, 0.0000, 2.1461, 0.0000
0.1233, 0.0000, 3.3910, 0.0000
0.1433, 0.0000, 1.2072, 0.0000
0.1967, -0.0033, 15.2119, -0.9507
0.2200, -0.0033, 3.9912, 0.0000
0.2967, -0.0033, 4.6019, 0.0000
0.3300, -0.0033, 2.0119, 0.0000
0.3800, -0.0033, 18.9767, 0.0000
0.4033, -0.0033, 1.4083, 0.0000
0.4600, -0.0033, 16.3666, 0.0000
0.4867, -0.0033, 4.3827, 0.0000
0.5067, -0.0033, 1.2072, 0.0000
0.5633, -0.0067, 17.4389, -1.0258
0.5867, -0.0067, 1.4083, 0.0000
0.6500, -0.0067, 3.8232, 0.0000
0.7100, -0.0067, 19.6360, 0.0000
0.7367, -0.0067, 4.3869, 0.0000
0.7600, -0.0067, 3.8841, 0.0000
0.7900, -0.0067, 1.8108, 0.0000
0.8333, -0.0100, 18.7647, -1.4434
0.8633, -0.0133, 4.9012, -0.5446
0.8900, -0.0133, 4.4590, 0.0000
0.9167, -0.0200, 1.6095, -0.4024
0.9900, -0.0200, 20.7308, 0.0000
0.9998, -0.0197, 1.6234, 0.0549
0.9997, -0.0226, -0.0146, -0.6892
0.9998, -0.0220, 0.0008, 0.0343
0.9998, -0.0209, 0.0014, 0.0674
0.9998, -0.0198, 0.0072, 0.3521
0.9998, -0.0194, 0.0012, 0.0605
0.9999, -0.0163, 0.0034, 0.1888
0.9999, -0.0130, 0.0272, 1.8569
0.9999, -0.0127, 0.0002, 0.0160
0.9999, -0.0122, 0.0004, 0.0318
0.9999, -0.0117, 0.0004, 0.0326
0.9999, -0.0113, 0.0002, 0.0191
0.9999, -0.0112, 0.0006, 0.0484
0.9999, -0.0111, 0.0001, 0.0080
1.0000, -0.0089, 0.0014, 0.1344
