Position x, Position y, Velocity x, Velocity y
0.0150, -0.0050, 0.0000, 0.0000
0.0150, -0.0050, 0.0000, 0.0000
0.0150, -0.0050, 0.0000, 0.0000
0.0150, -0.0050, 0.0000, 0.0000
0.0148, -0.0050, -0.0012, 0.0000
0.0131, -0.0050, -0.0083, 0.0000
0.0079, -0.0048, -0.0264, 0.0012
-0.0049, -0.0042, -0.0640, 0.0029
-0.0306, -0.0030, -0.1292, 0.0060
-0.0749, -0.0004, -0.2228, 0.0129
-0.1346, 0.0032, -0.3005, 0.0183
-0.2057, 0.0076, -0.3580, 0.0222
-0.2847, 0.0126, -0.3972, 0.0249
-0.3682, 0.0180, -0.4200, 0.0275
-0.4534, 0.0238, -0.4286, 0.0289
-0.5379, 0.0296, -0.4253, 0.0295
-0.6198, 0.0354, -0.4119, 0.0292
-0.6975, 0.0410, -0.3907, 0.0282
-0.7697, 0.0463, -0.3633, 0.0267
-0.8356, 0.0513, -0.3314, 0.0248
-0.8837, 0.0549, -0.2418, 0.0185
-0.9186, 0.0577, -0.1758, 0.0138
-0.9439, 0.0597, -0.1274, 0.0103
-0.9623, 0.0613, -0.0917, 0.0077
-0.9753, 0.0630, -0.0656, 0.0089
-0.9845, 0.0650, -0.0464, 0.0099
-0.9893, 0.0674, -0.0243, 0.0122
-0.9731, 0.0693, 0.0816, 0.0093
-0.9225, 0.0702, 0.2542, 0.0047
-0.8329, 0.0701, 0.4509, -0.0004
-0.7129, 0.0689, 0.6039, -0.0063
-0.5704, 0.0666, 0.7166, -0.0116
-0.4127, 0.0634, 0.7930, -0.0159
-0.2463, 0.0597, 0.8372, -0.0185
-0.0767, 0.0557, 0.8533, -0.0203
0.0914, 0.0515, 0.8457, -0.0212
0.2542, 0.0472, 0.8184, -0.0214
0.4083, 0.0430, 0.7755, -0.0211
0.5516, 0.0390, 0.7205, -0.0203
0.6821, 0.0352, 0.6568, -0.0192
0.7989, 0.0316, 0.5875, -0.0177
0.9013, 0.0284, 0.5151, -0.0161
0.9722, 0.0261, 0.3567, -0.0117
0.9997, 0.0239, 0.2419, -0.0084
0.9998, 0.0221, 0.1618, -0.0060
0.9998, 0.0208, 0.1082, -0.0041
0.9998, 0.0200, 0.0723, -0.0027
0.9998, 0.0195, 0.0484, -0.0016
0.9998, 0.0192, 0.0323, -0.0009
0.9998, 0.0190, 0.0216, -0.0003
0.9998, 0.0190, 0.0144, 0.0000
