Position x, Position y, Velocity x, Velocity y
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
-0.0002, 0.0000, -0.0012, 0.0000
-0.0008, 0.0000, -0.0027, 0.0000
-0.0015, 0.0000, -0.0035, 0.0000
-0.0024, 0.0000, -0.0047, 0.0000
-0.0035, 0.0000, -0.0053, 0.0000
-0.0048, 0.0000, -0.0068, 0.0000
-0.0064, 0.0000, -0.0077, 0.0000
-0.0080, 0.0000, -0.0081, 0.0000
-0.0097, 0.0000, -0.0088, 0.0000
-0.0115, 0.0000, -0.0090, 0.0000
-0.0133, 0.0000, -0.0089, 0.0000
-0.0150, 0.0000, -0.0087, 0.0000
-0.0168, 0.0000, -0.0089, 0.0000
-0.0185, -0.0001, -0.0088, -0.0006
-0.0202, -0.0004, -0.0086, -0.0016
-0.0219, -0.0009, -0.0082, -0.0023
-0.0234, -0.0014, -0.0077, -0.0027
-0.0250, -0.0020, -0.0079, -0.0028
-0.0266, -0.0026, -0.0084, -0.0029
-0.0283, -0.0031, -0.0085, -0.0029
-0.0301, -0.0037, -0.0090, -0.0028
-0.0319, -0.0042, -0.0091, -0.0026
-0.0338, -0.0047, -0.0096, -0.0025
-0.0359, -0.0052, -0.0103, -0.0023
-0.0379, -0.0056, -0.0105, -0.0021
-0.0401, -0.0060, -0.0110, -0.0020
-0.0423, -0.0064, -0.0111, -0.0018
-0.0446, -0.0068, -0.0115, -0.0023
-0.0469, -0.0073, -0.0114, -0.0026
-0.0492, -0.0078, -0.0118, -0.0027
-0.0517, -0.0084, -0.0123, -0.0027
-0.0541, -0.0089, -0.0124, -0.0026
-0.0565, -0.0094, -0.0121, -0.0025
