Position x, Position y, Velocity x, Velocity y
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0001, 0.0000, 0.0006, 0.0000
0.0008, 0.0000, 0.0035, 0.0000
0.0035, 0.0001, 0.0134, 0.0006
0.0107, 0.0006, 0.0362, 0.0024
0.0269, 0.0013, 0.0817, 0.0038
0.0559, 0.0023, 0.1456, 0.0048
0.1014, 0.0037, 0.2288, 0.0069
0.1615, 0.0057, 0.3025, 0.0105
0.2324, 0.0083, 0.3564, 0.0131
0.3104, 0.0115, 0.3926, 0.0158
0.3925, 0.0152, 0.4131, 0.0185
0.4760, 0.0193, 0.4199, 0.0208
0.5586, 0.0237, 0.4152, 0.0222
0.6383, 0.0283, 0.4011, 0.0232
0.7137, 0.0330, 0.3793, 0.0234
0.7837, 0.0375, 0.3518, 0.0230
0.8473, 0.0419, 0.3202, 0.0221
0.8936, 0.0453, 0.2328, 0.0171
0.9271, 0.0480, 0.1687, 0.0134
0.9513, 0.0501, 0.1216, 0.0106
0.9686, 0.0518, 0.0871, 0.0084
0.9809, 0.0531, 0.0619, 0.0069
0.9896, 0.0543, 0.0435, 0.0057
0.9956, 0.0551, 0.0302, 0.0042
0.9985, 0.0556, 0.0205, 0.0031
0.9984, 0.0560, 0.0137, 0.0027
0.9984, 0.0571, 0.0025, 0.0054
0.9834, 0.0589, -0.0754, 0.0092
0.9410, 0.0621, -0.2130, 0.0159
0.8613, 0.0669, -0.4009, 0.0242
0.7491, 0.0727, -0.5645, 0.0293
0.6125, 0.0791, -0.6872, 0.0321
0.4589, 0.0859, -0.7725, 0.0344
0.2950, 0.0930, -0.8245, 0.0359
0.1265, 0.1003, -0.8475, 0.0365
-0.0416, 0.1075, -0.8457, 0.0362
-0.2053, 0.1145, -0.8234, 0.0350
-0.3612, 0.1210, -0.7844, 0.0332
-0.5068, 0.1272, -0.7325, 0.0308
-0.6402, 0.1328, -0.6711, 0.0281
-0.7601, 0.1378, -0.6033, 0.0251
-0.8658, 0.1421, -0.5318, 0.0220
-0.9396, 0.1452, -0.3709, 0.0152
-0.9891, 0.1471, -0.2542, 0.0103
-0.9896, 0.1436, -0.1700, 0.0068
-0.9900, 0.1414, -0.1136, 0.0049
-0.9901, 0.1400, -0.0759, 0.0039
-0.9902, 0.1393, -0.0506, 0.0034
-0.9903, 0.1390, -0.0337, 0.0031
-0.9903, 0.1390, -0.0224, 0.0030
-0.9903, 0.1391, -0.0149, 0.0029
-0.9902, 0.1394, -0.0098, 0.0028
-0.9902, 0.1398, -0.0064, 0.0028
-0.9901, 0.1402, -0.0042, 0.0026
-0.9901, 0.1406, -0.0027, 0.0025
-0.9900, 0.1410, -0.0017, 0.0024
-0.9899, 0.1414, -0.0010, 0.0023
-0.9899, 0.1418, -0.0006, 0.0021
-0.9898, 0.1422, -0.0003, 0.0020
-0.9898, 0.1426, -0.0001, 0.0018
