Position x, Position y, Velocity x, Velocity y
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000
0.0001, 0.0000, 0.0006, 0.0000
0.0003, 0.0000, 0.0010, 0.0000
0.0006, 0.0000, 0.0013, 0.0000
0.0009, 0.0000, 0.0014, 0.0000
0.0011, 0.0000, 0.0014, 0.0000
0.0014, 0.0000, 0.0014, 0.0000
0.0017, 0.0000, 0.0014, 0.0000
0.0021, 0.0000, 0.0020, 0.0000
0.0026, 0.0000, 0.0023, 0.0000
0.0031, 0.0000, 0.0025, 0.0000
0.0037, 0.0000, 0.0031, 0.0000
0.0044, 0.0000, 0.0035, 0.0000
0.0051, 0.0000, 0.0037, 0.0000
0.0058, 0.0000, 0.0037, 0.0000
0.0065, 0.0000, 0.0036, 0.0000
0.0072, 0.0000, 0.0035, 0.0000
0.0079, 0.0000, 0.0033, 0.0000
0.0086, 0.0000, 0.0037, 0.0000
0.0094, 0.0000, 0.0039, 0.0000
0.0103, 0.0000, 0.0045, 0.0000
0.0113, 0.0000, 0.0049, 0.0000
0.0122, 0.0000, 0.0050, 0.0000
0.0133, 0.0000, 0.0055, 0.0000
0.0145, 0.0000, 0.0058, 0.0000
0.0156, 0.0000, 0.0058, 0.0000
0.0169, 0.0000, 0.0063, 0.0000
0.0182, 0.0000, 0.0064, 0.0000
0.0194, 0.0000, 0.0064, 0.0000
0.0208, 0.0000, 0.0068, 0.0000
0.0222, 0.0000, 0.0070, 0.0000
0.0235, 0.0000, 0.0069, 0.0000
0.0249, 0.0000, 0.0066, 0.0000
0.0261, 0.0000, 0.0063, 0.0000
0.0274, 0.0000, 0.0066, 0.0000
0.0289, 0.0000, 0.0072, 0.0000
0.0303, 0.0000, 0.0074, 0.0000
0.0319, 0.0000, 0.0080, 0.0000
0.0336, 0.0000, 0.0082, 0.0000
0.0353, 0.0000, 0.0088, 0.0000
0.0372, 0.0001, 0.0096, 0.0006
0.0392, 0.0003, 0.0098, 0.0010
0.0411, 0.0006, 0.0098, 0.0013
0.0431, 0.0009, 0.0101, 0.0014
0.0452, 0.0011, 0.0101, 0.0014
0.0472, 0.0014, 0.0105, 0.0014
