Position x, Position y, Velocity x, Velocity y
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0094, 0.0000, 0.0000
-1.0000, -0.0095, 0.0000, 0.0000
-1.0000, -0.0095, 0.0000, 0.0000
-1.0000, -0.0095, 0.0000, -0.0001
-1.0000, -0.0095, 0.0000, -0.0001
-1.0000, -0.0095, 0.0000, -0.0001
-1.0000, -0.0095, 0.0000, -0.0001
-1.0000, -0.0095, 0.0000, -0.0001
-1.0000, -0.0096, 0.0000, -0.0001
-1.0000, -0.0096, 0.0000, -0.0001
-1.0000, -0.0096, 0.0000, -0.0001
-1.0000, -0.0096, 0.0000, -0.0001
-1.0000, -0.0096, 0.0000, -0.0001
-1.0000, -0.0097, 0.0000, -0.0001
-1.0000, -0.0097, 0.0000, -0.0001
-1.0000, -0.0097, 0.0000, -0.0001
-0.9998, -0.0097, 0.0006, -0.0001
-0.9995, -0.0098, 0.0016, -0.0001
-0.9991, -0.0098, 0.0023, -0.0001
-0.9985, -0.0098, 0.0026, -0.0001
-0.9980, -0.0098, 0.0028, -0.0001
-0.9973, -0.0098, 0.0035, -0.0001
-0.9965, -0.0098, 0.0039, -0.0001
-0.9956, -0.0099, 0.0046, -0.0001
-0.9945, -0.0099, 0.0057, -0.0001
-0.9932, -0.0099, 0.0062, -0.0001
-0.9919, -0.0099, 0.0064, -0.0001
-0.9904, -0.0099, 0.0076, 0.0000
-0.9887, -0.0099, 0.0089, 0.0000
-0.9868, -0.0099, 0.0095, 0.0000
-0.9847, -0.0099, 0.0103, 0.0000
-0.9825, -0.0099, 0.0112, 0.0000
-0.9802, -0.0099, 0.0115, 0.0000
-0.9777, -0.0099, 0.0127, 0.0000
-0.9751, -0.0100, 0.0132, 0.0000
-0.9721, -0.0100, 0.0150, 0.0000
-0.9688, -0.0100, 0.0165, 0.0000
-0.9653, -0.0100, 0.0177, 0.0000
-0.9615, -0.0100, 0.0187, 0.0000
-0.9577, -0.0100, 0.0195, 0.0000
-0.9536, -0.0100, 0.0202, 0.0000
-0.9496, -0.0100, 0.0202, 0.0000
-0.9457, -0.0100, 0.0197, 0.0000
-0.9420, -0.0100, 0.0188, 0.0000
-0.9383, -0.0100, 0.0184, 0.0000
-0.9347, -0.0100, 0.0183, 0.0000
-0.9311, -0.0100, 0.0178, 0.0000
-0.9276, -0.0100, 0.0176, 0.0000
-0.9242, -0.0100, 0.0171, 0.0000
-0.9210, -0.0100, 0.0163, 0.0000
-0.9178, -0.0100, 0.0160, 0.0000
-0.9146, -0.0100, 0.0160, 0.0000
-0.9114, -0.0100, 0.0162, 0.0000
-0.9081, -0.0101, 0.0166, -0.0006
-0.9044, -0.0103, 0.0183, -0.0010
-0.9007, -0.0106, 0.0190, -0.0013
-0.8968, -0.0108, 0.0196, -0.0014
-0.8929, -0.0111, 0.0196, -0.0014
-0.8888, -0.0114, 0.0203, -0.0014
-0.8848, -0.0117, 0.0202, -0.0014
-0.8808, -0.0120, 0.0203, -0.0014
-0.8768, -0.0122, 0.0199, -0.0013
-0.8728, -0.0125, 0.0204, -0.0012
-0.8687, -0.0127, 0.0202, -0.0011
-0.8649, -0.0129, 0.0195, -0.0010
-0.8610, -0.0131, 0.0193, -0.0010
-0.8572, -0.0133, 0.0192, -0.0009
-0.8535, -0.0134, 0.0187, -0.0008
-0.8497, -0.0136, 0.0192, -0.0007
-0.8457, -0.0137, 0.0202, -0.0007
-0.8415, -0.0139, 0.0211, -0.0012
-0.8371, -0.0143, 0.0217, -0.0016
-0.8327, -0.0147, 0.0222, -0.0024
-0.8283, -0.0153, 0.0220, -0.0029
-0.8238, -0.0159, 0.0226, -0.0031
-0.8193, -0.0166, 0.0231, -0.0032
-0.8147, -0.0172, 0.0228, -0.0032
-0.8101, -0.0179, 0.0233, -0.0037
-0.8053, -0.0187, 0.0243, -0.0040
-0.8003, -0.0195, 0.0250, -0.0041
-0.7953, -0.0203, 0.0254, -0.0040
-0.7901, -0.0211, 0.0257, -0.0039
-0.7851, -0.0219, 0.0253, -0.0037
-0.7801, -0.0225, 0.0250, -0.0035
-0.7661, -0.0240, 0.0277, -0.0029
-0.7609, -0.0246, 0.0261, -0.0027
-0.7559, -0.0250, 0.0250, -0.0025
-0.7511, -0.0255, 0.0243, -0.0023
-0.7465, -0.0259, 0.0232, -0.0021
-0.7420, -0.0263, 0.0225, -0.0019
-0.7376, -0.0266, 0.0221, -0.0017
-0.7333, -0.0269, 0.0213, -0.0016
-0.7291, -0.0272, 0.0215, -0.0014
-0.7249, -0.0275, 0.0211, -0.0013
-0.7207, -0.0277, 0.0209, -0.0012
-0.7165, -0.0279, 0.0209, -0.0011
-0.7124, -0.0281, 0.0210, -0.0010
-0.7082, -0.0283, 0.0212, -0.0009
-0.7039, -0.0285, 0.0214, -0.0008
-0.6996, -0.0286, 0.0216, -0.0007
-0.6951, -0.0287, 0.0225, -0.0007
-0.6907, -0.0289, 0.0225, -0.0006
-0.6860, -0.0290, 0.0232, -0.0005
-0.6813, -0.0291, 0.0237, -0.0005
-0.6765, -0.0292, 0.0241, -0.0004
-0.6716, -0.0294, 0.0250, -0.0010
-0.6665, -0.0298, 0.0256, -0.0020
-0.6614, -0.0303, 0.0254, -0.0026
-0.6564, -0.0309, 0.0252, -0.0030
-0.6514, -0.0315, 0.0251, -0.0031
-0.6464, -0.0321, 0.0251, -0.0031
-0.6416, -0.0327, 0.0244, -0.0031
-0.6368, -0.0333, 0.0240, -0.0030
-0.6322, -0.0339, 0.0231, -0.0028
-0.6276, -0.0344, 0.0232, -0.0026
-0.6229, -0.0349, 0.0239, -0.0025
-0.6179, -0.0355, 0.0250, -0.0029
-0.6128, -0.0361, 0.0258, -0.0031
-0.6074, -0.0367, 0.0269, -0.0032
-0.6021, -0.0373, 0.0270, -0.0032
-0.5967, -0.0380, 0.0270, -0.0031
-0.5913, -0.0385, 0.0270, -0.0029
-0.5860, -0.0391, 0.0269, -0.0028
-0.5808, -0.0396, 0.0262, -0.0026
-0.5757, -0.0401, 0.0257, -0.0024
-0.5706, -0.0406, 0.0253, -0.0028
-0.5657, -0.0412, 0.0251, -0.0031
-0.5607, -0.0419, 0.0249, -0.0031
-0.5558, -0.0425, 0.0248, -0.0031
-0.5510, -0.0431, 0.0242, -0.0030
-0.5461, -0.0437, 0.0243, -0.0029
-0.5414, -0.0442, 0.0239, -0.0027
-0.5367, -0.0447, 0.0236, -0.0025
-0.5321, -0.0452, 0.0228, -0.0024
-0.5277, -0.0456, 0.0224, -0.0022
-0.5234, -0.0460, 0.0215, -0.0020
-0.5192, -0.0464, 0.0210, -0.0018
-0.5151, -0.0467, 0.0208, -0.0017
-0.5111, -0.0470, 0.0201, -0.0015
-0.5072, -0.0473, 0.0198, -0.0014
-0.5034, -0.0475, 0.0191, -0.0013
-0.4995, -0.0478, 0.0194, -0.0012
-0.4957, -0.0480, 0.0191, -0.0011
-0.4919, -0.0482, 0.0191, -0.0010
-0.4882, -0.0483, 0.0186, -0.0009
-0.4846, -0.0485, 0.0184, -0.0008
-0.4810, -0.0486, 0.0179, -0.0007
-0.4776, -0.0488, 0.0170, -0.0006
-0.4742, -0.0489, 0.0173, -0.0006
-0.4708, -0.0490, 0.0171, -0.0005
-0.4675, -0.0491, 0.0165, -0.0005
-0.4643, -0.0492, 0.0163, -0.0004
-0.4611, -0.0492, 0.0158, -0.0004
-0.4581, -0.0493, 0.0150, -0.0004
-0.4552, -0.0494, 0.0148, -0.0003
-0.4524, -0.0494, 0.0143, -0.0003
-0.4495, -0.0495, 0.0142, -0.0003
-0.4468, -0.0495, 0.0138, -0.0002
-0.4441, -0.0496, 0.0138, -0.0002
-0.4413, -0.0496, 0.0141, -0.0002
-0.4384, -0.0497, 0.0145, -0.0002
-0.4354, -0.0497, 0.0151, -0.0002
-0.4322, -0.0497, 0.0157, -0.0001
-0.4291, -0.0497, 0.0158, -0.0001
-0.4258, -0.0498, 0.0167, -0.0001
-0.4223, -0.0498, 0.0174, -0.0001
-0.4188, -0.0498, 0.0175, -0.0001
-0.4153, -0.0498, 0.0178, -0.0001
-0.4116, -0.0498, 0.0188, -0.0001
-0.4077, -0.0499, 0.0196, -0.0001
-0.4037, -0.0499, 0.0203, -0.0001
-0.3995, -0.0499, 0.0208, -0.0001
-0.3953, -0.0499, 0.0213, -0.0001
-0.3909, -0.0499, 0.0217, 0.0000
-0.3865, -0.0499, 0.0221, 0.0000
-0.3821, -0.0499, 0.0224, 0.0000
-0.3776, -0.0499, 0.0227, 0.0000
-0.3731, -0.0499, 0.0223, 0.0000
-0.3687, -0.0499, 0.0222, 0.0000
-0.3645, -0.0499, 0.0215, 0.0000
-0.3603, -0.0500, 0.0211, 0.0000
-0.3561, -0.0500, 0.0210, 0.0000
-0.3520, -0.0500, 0.0204, 0.0000
-0.3482, -0.0500, 0.0195, 0.0000
-0.3442, -0.0500, 0.0196, 0.0000
-0.3403, -0.0500, 0.0199, 0.0000
-0.3363, -0.0499, 0.0202, 0.0006
-0.3322, -0.0496, 0.0205, 0.0010
-0.3282, -0.0494, 0.0202, 0.0013
-0.3241, -0.0491, 0.0207, 0.0014
-0.3200, -0.0488, 0.0206, 0.0014
-0.3158, -0.0486, 0.0212, 0.0014
-0.3115, -0.0483, 0.0217, 0.0014
-0.3071, -0.0480, 0.0222, 0.0013
-0.3026, -0.0478, 0.0225, 0.0013
-0.2979, -0.0475, 0.0235, 0.0012
-0.2931, -0.0473, 0.0241, 0.0011
-0.2883, -0.0471, 0.0240, 0.0010
-0.2837, -0.0469, 0.0233, 0.0009
-0.2793, -0.0467, 0.0222, 0.0009
-0.2750, -0.0466, 0.0216, 0.0008
-0.2708, -0.0464, 0.0213, 0.0007
-0.2664, -0.0463, 0.0218, 0.0007
-0.2620, -0.0462, 0.0222, 0.0006
-0.2574, -0.0461, 0.0232, 0.0006
-0.2528, -0.0460, 0.0232, 0.0005
-0.2482, -0.0459, 0.0233, 0.0005
-0.2435, -0.0458, 0.0235, 0.0004
-0.2388, -0.0457, 0.0236, 0.0004
-0.2341, -0.0457, 0.0237, 0.0003
-0.2292, -0.0456, 0.0244, 0.0003
-0.2153, -0.0455, 0.0258, 0.0002
-0.2105, -0.0454, 0.0241, 0.0002
-0.2059, -0.0454, 0.0230, 0.0002
-0.2016, -0.0453, 0.0217, 0.0002
-0.1974, -0.0453, 0.0209, 0.0002
-0.1933, -0.0453, 0.0205, 0.0001
-0.1892, -0.0453, 0.0210, 0.0001
-0.1849, -0.0452, 0.0214, 0.0001
-0.1806, -0.0452, 0.0217, 0.0001
-0.1762, -0.0452, 0.0221, 0.0001
-0.1718, -0.0452, 0.0224, 0.0001
-0.1673, -0.0452, 0.0226, 0.0001
-0.1627, -0.0451, 0.0229, 0.0001
-0.1583, -0.0451, 0.0225, 0.0001
-0.1537, -0.0451, 0.0229, 0.0001
-0.1492, -0.0451, 0.0226, 0.0001
-0.1448, -0.0451, 0.0225, 0.0001
-0.1404, -0.0451, 0.0218, 0.0000
-0.1360, -0.0451, 0.0221, 0.0000
-0.1317, -0.0451, 0.0217, 0.0000
-0.1274, -0.0451, 0.0216, 0.0000
-0.1231, -0.0451, 0.0216, 0.0000
-0.1187, -0.0451, 0.0223, 0.0000
-0.1142, -0.0450, 0.0228, 0.0000
-0.1095, -0.0450, 0.0232, 0.0000
-0.1049, -0.0450, 0.0235, 0.0000
-0.1001, -0.0450, 0.0238, 0.0000
-0.0954, -0.0450, 0.0240, 0.0000
-0.0907, -0.0452, 0.0236, -0.0006
-0.0860, -0.0454, 0.0233, -0.0010
-0.0814, -0.0456, 0.0232, -0.0013
-0.0768, -0.0459, 0.0231, -0.0014
-0.0722, -0.0462, 0.0231, -0.0014
-0.0678, -0.0464, 0.0226, -0.0014
-0.0635, -0.0467, 0.0217, -0.0014
-0.0591, -0.0470, 0.0217, -0.0013
-0.0549, -0.0472, 0.0213, -0.0013
-0.0507, -0.0475, 0.0210, -0.0012
-0.0460, -0.0477, 0.0217, -0.0011
-0.0417, -0.0479, 0.0214, -0.0010
-0.0376, -0.0481, 0.0208, -0.0009
-0.0336, -0.0483, 0.0198, -0.0009
-0.0298, -0.0484, 0.0193, -0.0008
-0.0261, -0.0486, 0.0185, -0.0007
-0.0225, -0.0487, 0.0181, -0.0007
-0.0191, -0.0488, 0.0174, -0.0006
-0.0158, -0.0489, 0.0165, -0.0005
-0.0127, -0.0490, 0.0155, -0.0005
-0.0099, -0.0491, 0.0144, -0.0005
-0.0071, -0.0492, 0.0140, -0.0004
-0.0043, -0.0493, 0.0139, -0.0004
-0.0016, -0.0494, 0.0136, -0.0003
0.0010, -0.0494, 0.0130, -0.0003
0.0034, -0.0495, 0.0123, -0.0003
0.0058, -0.0495, 0.0122, -0.0003
0.0082, -0.0496, 0.0118, -0.0002
0.0104, -0.0496, 0.0112, -0.0002
0.0125, -0.0496, 0.0105, -0.0002
0.0144, -0.0497, 0.0098, -0.0002
0.0163, -0.0497, 0.0091, -0.0002
0.0179, -0.0497, 0.0084, -0.0001
0.0195, -0.0498, 0.0078, -0.0001
0.0209, -0.0498, 0.0071, -0.0001
0.0222, -0.0498, 0.0065, -0.0001
0.0234, -0.0498, 0.0059, -0.0001
0.0245, -0.0498, 0.0054, -0.0001
0.0254, -0.0499, 0.0049, -0.0001
0.0263, -0.0499, 0.0045, -0.0001
0.0271, -0.0499, 0.0041, -0.0001
0.0279, -0.0499, 0.0037, -0.0001
0.0285, -0.0499, 0.0034, -0.0001
0.0291, -0.0499, 0.0031, 0.0000
0.0297, -0.0499, 0.0028, 0.0000
0.0302, -0.0499, 0.0025, 0.0000
0.0306, -0.0499, 0.0023, 0.0000
0.0311, -0.0499, 0.0021, 0.0000
0.0314, -0.0499, 0.0019, 0.0000
0.0318, -0.0500, 0.0017, 0.0000
0.0321, -0.0500, 0.0015, 0.0000
0.0323, -0.0500, 0.0014, 0.0000
0.0326, -0.0500, 0.0013, 0.0000
0.0328, -0.0500, 0.0011, 0.0000
0.0330, -0.0500, 0.0010, 0.0000
