Position x, Position y, Velocity x, Velocity y
0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000, 0.0131
0.0000, 0.0000, 0.0000, 0.0000, 0.0150
0.0000, 0.0000, 0.0000, 0.0000, 0.0317
0.0000, 0.0000, 0.0000, 0.0000, 0.0339
0.0000, 0.0000, 0.0000, 0.0000, 0.0507
0.0000, 0.0000, 0.0000, 0.0000, 0.0672
0.0000, 0.0000, 0.0000, 0.0000, 0.0690
0.0000, 0.0000, 0.0000, 0.0000, 0.0858
0.0000, 0.0000, 0.0000, 0.0000, 0.1024
0.0000, 0.0000, 0.0000, 0.0000, 0.1044
0.0000, 0.0000, 0.0000, 0.0000, 0.1212
0.0000, 0.0000, 0.0000, 0.0000, 0.1377
0.0000, 0.0000, 0.0000, 0.0000, 0.1395
0.0000, 0.0000, 0.0000, 0.0000, 0.1563
0.0000, 0.0000, 0.0000, 0.0000, 0.1727
0.0000, 0.0000, 0.0000, 0.0000, 0.1745
0.0000, 0.0000, 0.0000, 0.0000, 0.1916
-0.0001, 0.0000, -0.0006, 0.0000, 0.2082
-0.0011, -0.0001, -0.0047, -0.0006, 0.2112
-0.0014, -0.0002, -0.0074, -0.0011, 0.2284
-0.0063, -0.0009, -0.0246, -0.0038, 0.2447
-0.0167, -0.0025, -0.0527, -0.0080, 0.2612
-0.0347, -0.0050, -0.0904, -0.0126, 0.2778
-0.0612, -0.0085, -0.1332, -0.0173, 0.2942
-0.0966, -0.0127, -0.1781, -0.0215, 0.2975
-0.1038, -0.0136, -0.1875, -0.0221, 0.3143
-0.1515, -0.0185, -0.2399, -0.0248, 0.3308
-0.2093, -0.0238, -0.2906, -0.0265, 0.3473
-0.2770, -0.0289, -0.3405, -0.0259, 0.3638
-0.3513, -0.0334, -0.3739, -0.0225, 0.3806
-0.4294, -0.0368, -0.3925, -0.0172, 0.3970
-0.5086, -0.0390, -0.3984, -0.0107, 0.4134
-0.5868, -0.0399, -0.3934, -0.0045, 0.4301
-0.6623, -0.0395, -0.3796, 0.0016, 0.4467
-0.7336, -0.0381, -0.3587, 0.0074, 0.4633
-0.7996, -0.0356, -0.3323, 0.0127, 0.4799
-0.8597, -0.0321, -0.3022, 0.0173, 0.4964
-0.9033, -0.0284, -0.2194, 0.0185, 0.5128
-0.9349, -0.0247, -0.1587, 0.0187, 0.5151
-0.9397, -0.0241, -0.1516, 0.0187, 0.5318
-0.9613, -0.0205, -0.1088, 0.0183, 0.5350
-0.9652, -0.0198, -0.1030, 0.0182, 0.5515
-0.9797, -0.0163, -0.0732, 0.0175, 0.5536
-0.9817, -0.0158, -0.0700, 0.0174, 0.5704
-0.9915, -0.0126, -0.0491, 0.0164, 0.5874
-0.9982, -0.0095, -0.0338, 0.0154, 0.6039
-1.0000, -0.0066, -0.0228, 0.0144, 0.6205
-1.0000, -0.0039, -0.0152, 0.0136, 0.6371
-1.0000, -0.0013, -0.0101, 0.0129, 0.6534
-1.0000, 0.0011, -0.0067, 0.0121, 0.6571
-1.0000, 0.0016, -0.0063, 0.0116, 0.6737
-1.0000, 0.0033, -0.0042, 0.0086, 0.6901
-1.0000, 0.0043, -0.0028, 0.0054, 0.7068
-0.9969, 0.0047, 0.0155, 0.0018, 0.7233
-0.9866, 0.0044, 0.0517, -0.0016, 0.7399
-0.9664, 0.0035, 0.1017, -0.0043, 0.7565
-0.9354, 0.0022, 0.1559, -0.0065, 0.7729
-0.8929, 0.0006, 0.2140, -0.0082, 0.7896
-0.8384, -0.0013, 0.2739, -0.0094, 0.8062
-0.7718, -0.0033, 0.3352, -0.0102, 0.8370
-0.6933, -0.0054, 0.3948, -0.0106, 0.8414
-0.5882, -0.0075, 0.4710, -0.0092, 0.8582
-0.4853, -0.0089, 0.5177, -0.0074, 0.8743
-0.3753, -0.0100, 0.5537, -0.0051, 0.8910
-0.2601, -0.0104, 0.5794, -0.0024, 0.9076
-0.1414, -0.0103, 0.5971, 0.0006, 0.9241
-0.0202, -0.0095, 0.6096, 0.0042, 0.9407
0.1027, -0.0079, 0.6180, 0.0078, 0.9573
0.2270, -0.0056, 0.6252, 0.0119, 0.9737
0.3497, -0.0023, 0.6176, 0.0162, 0.9771
0.3741, -0.0017, 0.6132, 0.0169, 0.9938
0.4913, 0.0024, 0.5892, 0.0207, 1.0103
0.6015, 0.0071, 0.5547, 0.0233, 1.0269
0.7034, 0.0119, 0.5121, 0.0244, 1.0434
0.7956, 0.0169, 0.4640, 0.0253, 1.0601
0.8776, 0.0220, 0.4123, 0.0254, 1.0766
0.9354, 0.0262, 0.2908, 0.0209, 1.0930
0.9756, 0.0295, 0.2023, 0.0171, 1.1097
0.9995, 0.0322, 0.1381, 0.0139, 1.1263
0.9994, 0.0338, 0.0923, 0.0112, 1.1428
0.9994, 0.0352, 0.0616, 0.0091, 1.1594
0.9993, 0.0364, 0.0412, 0.0075, 1.1756
0.9993, 0.0374, 0.0275, 0.0063, 1.1920
0.9993, 0.0384, 0.0183, 0.0054, 1.1942
0.9993, 0.0385, 0.0175, 0.0053, 1.2109
0.9992, 0.0393, 0.0117, 0.0046, 1.2275
0.9992, 0.0400, 0.0078, 0.0040, 1.2297
0.9992, 0.0401, 0.0074, 0.0039, 1.2464
0.9992, 0.0408, 0.0049, 0.0035, 1.2630
