Position x, Position y, Velocity x, Velocity y
0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000, 0.0133
0.0000, 0.0000, 0.0000, 0.0000, 0.0152
0.0000, 0.0000, 0.0000, 0.0000, 0.0319
0.0000, 0.0000, 0.0000, 0.0000, 0.0338
0.0000, 0.0000, 0.0000, 0.0000, 0.0506
0.0000, 0.0000, 0.0000, 0.0000, 0.0670
0.0000, 0.0000, 0.0000, 0.0000, 0.0836
0.0000, 0.0000, 0.0000, 0.0000, 0.0854
0.0000, 0.0000, 0.0000, 0.0000, 0.1022
0.0000, 0.0000, 0.0000, 0.0000, 0.1188
0.0000, 0.0000, 0.0000, 0.0000, 0.1205
0.0000, 0.0000, 0.0000, 0.0000, 0.1373
0.0000, 0.0000, 0.0000, 0.0000, 0.1539
0.0000, 0.0000, 0.0000, 0.0000, 0.1557
0.0000, 0.0000, 0.0000, 0.0000, 0.1725
0.0000, 0.0000, 0.0000, 0.0000, 0.1890
0.0000, 0.0000, 0.0000, 0.0000, 0.1908
0.0000, 0.0000, 0.0000, 0.0000, 0.2074
0.0000, 0.0000, 0.0000, 0.0000, 0.2242
0.0000, 0.0000, 0.0000, 0.0000, 0.2260
0.0000, 0.0000, 0.0000, 0.0000, 0.2427
0.0000, 0.0000, 0.0000, 0.0000, 0.2592
0.0000, 0.0000, 0.0000, 0.0000, 0.2611
0.0000, 0.0000, 0.0000, 0.0000, 0.2779
0.0000, 0.0000, 0.0000, 0.0000, 0.2944
0.0000, 0.0000, 0.0000, 0.0000, 0.2965
0.0000, 0.0000, 0.0000, 0.0000, 0.3135
-0.0001, 0.0000, -0.0006, 0.0000, 0.3156
-0.0001, 0.0000, -0.0007, 0.0000, 0.3324
-0.0004, 0.0000, -0.0011, 0.0000, 0.3490
-0.0006, 0.0000, -0.0013, 0.0000, 0.3512
-0.0006, 0.0000, -0.0013, 0.0000, 0.3678
-0.0009, 0.0000, -0.0014, 0.0000, 0.3701
-0.0010, 0.0000, -0.0014, 0.0000, 0.3866
-0.0013, 0.0000, -0.0014, 0.0000, 0.4033
-0.0015, 0.0000, -0.0014, 0.0000, 0.4053
-0.0016, 0.0000, -0.0014, 0.0000, 0.4221
-0.0019, 0.0000, -0.0014, 0.0000, 0.4390
-0.0022, 0.0000, -0.0019, 0.0000, 0.4419
-0.0023, 0.0000, -0.0021, 0.0000, 0.4583
-0.0029, 0.0000, -0.0030, 0.0000, 0.4605
-0.0030, 0.0000, -0.0031, 0.0000, 0.4772
-0.0037, 0.0000, -0.0035, 0.0000, 0.4938
-0.0044, 0.0000, -0.0038, 0.0000, 0.4960
-0.0046, 0.0000, -0.0038, 0.0000, 0.5127
-0.0053, 0.0000, -0.0038, 0.0000, 0.5157
-0.0055, 0.0000, -0.0039, 0.0000, 0.5321
-0.0063, 0.0000, -0.0044, 0.0000, 0.5343
-0.0065, 0.0000, -0.0045, 0.0000, 0.5514
-0.0074, -0.0001, -0.0047, -0.0006, 0.5678
-0.0084, -0.0003, -0.0053, -0.0010, 0.5702
-0.0086, -0.0004, -0.0054, -0.0011, 0.5866
-0.0097, -0.0006, -0.0056, -0.0013, 0.5898
-0.0099, -0.0007, -0.0057, -0.0013, 0.6059
-0.0112, -0.0009, -0.0063, -0.0014, 0.6227
-0.0125, -0.0012, -0.0066, -0.0014, 0.6249
-0.0127, -0.0013, -0.0066, -0.0014, 0.6416
-0.0140, -0.0016, -0.0065, -0.0014, 0.6438
-0.0141, -0.0016, -0.0065, -0.0014, 0.6609
-0.0155, -0.0019, -0.0070, -0.0014, 0.6771
-0.0169, -0.0021, -0.0071, -0.0013, 0.6793
-0.0171, -0.0022, -0.0071, -0.0013, 0.6964
-0.0186, -0.0024, -0.0076, -0.0012, 0.6987
-0.0189, -0.0024, -0.0076, -0.0012, 0.7155
-0.0204, -0.0027, -0.0077, -0.0011, 0.7321
-0.0219, -0.0029, -0.0076, -0.0010, 0.7489
-0.0236, -0.0031, -0.0086, -0.0010, 0.7655
-0.0254, -0.0032, -0.0090, -0.0009, 0.7817
-0.0272, -0.0034, -0.0091, -0.0008, 0.7987
-0.0291, -0.0036, -0.0095, -0.0007, 0.8010
-0.0294, -0.0036, -0.0095, -0.0007, 0.8177
-0.0313, -0.0037, -0.0095, -0.0007, 0.8198
-0.0316, -0.0037, -0.0095, -0.0007, 0.8365
-0.0334, -0.0038, -0.0093, -0.0006, 0.8530
-0.0352, -0.0040, -0.0089, -0.0005, 0.8562
-0.0355, -0.0040, -0.0089, -0.0005, 0.8726
-0.0373, -0.0041, -0.0090, -0.0005, 0.8749
-0.0376, -0.0041, -0.0090, -0.0005, 0.8920
-0.0394, -0.0042, -0.0094, -0.0004, 0.8942
-0.0398, -0.0042, -0.0094, -0.0004, 0.9109
-0.0416, -0.0043, -0.0094, -0.0004, 0.9130
-0.0419, -0.0043, -0.0094, -0.0004, 0.9297
-0.0437, -0.0043, -0.0092, -0.0003, 0.9461
-0.0454, -0.0044, -0.0088, -0.0003, 0.9487
-0.0457, -0.0044, -0.0087, -0.0003, 0.9651
-0.0473, -0.0045, -0.0082, -0.0003, 0.9818
-0.0489, -0.0045, -0.0077, -0.0003, 0.9839
-0.0491, -0.0045, -0.0076, -0.0003, 1.0007
-0.0505, -0.0046, -0.0071, -0.0002, 1.0028
-0.0507, -0.0046, -0.0070, -0.0002, 1.0199
-0.0521, -0.0046, -0.0071, -0.0002, 1.0361
-0.0535, -0.0047, -0.0070, -0.0002, 1.0392
-0.0537, -0.0047, -0.0070, -0.0002, 1.0560
-0.0553, -0.0047, -0.0080, -0.0002, 1.0582
-0.0555, -0.0047, -0.0080, -0.0002, 1.0749
-0.0572, -0.0047, -0.0084, -0.0001, 1.0915
-0.0589, -0.0047, -0.0085, -0.0001, 1.1082
-0.0607, -0.0048, -0.0089, -0.0001, 1.1246
-0.0625, -0.0048, -0.0090, -0.0001, 1.1411
-0.0642, -0.0048, -0.0088, -0.0001, 1.1577
-0.0659, -0.0048, -0.0085, -0.0001, 1.1599
-0.0661, -0.0048, -0.0084, -0.0001, 1.1766
-0.0677, -0.0048, -0.0080, -0.0001, 1.1797
-0.0680, -0.0049, -0.0080, -0.0001, 1.1961
-0.0696, -0.0049, -0.0081, -0.0001, 1.1984
-0.0698, -0.0049, -0.0081, -0.0001, 1.2151
-0.0714, -0.0049, -0.0079, -0.0001, 1.2316
-0.0729, -0.0049, -0.0076, -0.0001, 1.2340
-0.0731, -0.0049, -0.0075, -0.0001, 1.2507
-0.0745, -0.0049, -0.0071, -0.0001, 1.2529
-0.0747, -0.0049, -0.0071, 0.0000, 1.2697
-0.0761, -0.0049, -0.0066, 0.0000, 1.2861
-0.0773, -0.0049, -0.0062, 0.0000, 1.2894
-0.0775, -0.0049, -0.0062, 0.0000, 1.3055
-0.0788, -0.0049, -0.0063, 0.0000, 1.3087
-0.0790, -0.0049, -0.0064, 0.0000, 1.3252
-0.0804, -0.0049, -0.0069, 0.0000, 1.3274
-0.0806, -0.0049, -0.0069, 0.0000, 1.3441
-0.0820, -0.0049, -0.0070, 0.0000, 1.3607
-0.0833, -0.0050, -0.0070, 0.0000, 1.3637
-0.0836, -0.0050, -0.0070, 0.0000, 1.3802
-0.0850, -0.0050, -0.0074, 0.0000, 1.3823
-0.0852, -0.0050, -0.0074, 0.0000, 1.3991
-0.0867, -0.0050, -0.0074, 0.0000, 1.4156
-0.0881, -0.0050, -0.0072, 0.0000, 1.4178
-0.0883, -0.0050, -0.0072, 0.0000, 1.4345
-0.0897, -0.0050, -0.0069, 0.0000, 1.4368
-0.0899, -0.0050, -0.0068, 0.0000, 1.4535
-0.0913, -0.0050, -0.0070, 0.0000, 1.4704
-0.0927, -0.0050, -0.0070, 0.0000, 1.4725
-0.0929, -0.0050, -0.0070, 0.0000, 1.4893
-0.0943, -0.0050, -0.0068, 0.0000, 1.4914
-0.0945, -0.0050, -0.0068, 0.0000, 1.5079
-0.0957, -0.0050, -0.0065, 0.0000, 1.5247
