Position x, Position y, Velocity x, Velocity y
0.0000, -0.0050, 0.0000, 0.0000, 0.0000
0.0000, -0.0050, 0.0000, 0.0000, 0.0131
0.0000, -0.0050, 0.0000, 0.0000, 0.0298
0.0000, -0.0050, 0.0000, 0.0000, 0.0463
0.0000, -0.0050, 0.0000, 0.0000, 0.0629
0.0000, -0.0050, 0.0000, 0.0000, 0.0649
0.0000, -0.0050, 0.0000, 0.0000, 0.0817
0.0000, -0.0050, 0.0000, 0.0000, 0.0982
0.0000, -0.0050, 0.0000, 0.0000, 0.1001
0.0000, -0.0050, 0.0000, 0.0000, 0.1168
0.0000, -0.0050, 0.0000, 0.0000, 0.1332
0.0000, -0.0050, 0.0000, 0.0000, 0.1351
0.0000, -0.0050, 0.0000, 0.0000, 0.1519
0.0000, -0.0050, 0.0000, 0.0000, 0.1684
0.0000, -0.0050, 0.0000, 0.0000, 0.1703
0.0000, -0.0050, 0.0000, 0.0000, 0.1871
0.0000, -0.0050, 0.0000, 0.0000, 0.2036
0.0000, -0.0050, 0.0000, 0.0000, 0.2055
0.0000, -0.0050, 0.0000, 0.0000, 0.2223
0.0000, -0.0050, 0.0000, 0.0000, 0.2392
0.0001, -0.0050, 0.0006, 0.0000, 0.2554
0.0008, -0.0051, 0.0035, -0.0006, 0.2579
0.0009, -0.0051, 0.0041, -0.0007, 0.2744
0.0028, -0.0054, 0.0094, -0.0011, 0.2911
0.0065, -0.0057, 0.0184, -0.0019, 0.3076
0.0127, -0.0065, 0.0314, -0.0037, 0.3244
0.0230, -0.0076, 0.0519, -0.0060, 0.3408
0.0376, -0.0092, 0.0734, -0.0078, 0.3573
0.0568, -0.0110, 0.0963, -0.0091, 0.3735
0.0812, -0.0130, 0.1230, -0.0099, 0.3904
0.1112, -0.0150, 0.1509, -0.0104, 0.4070
0.1473, -0.0171, 0.1817, -0.0105, 0.4236
0.1894, -0.0192, 0.2116, -0.0104, 0.4402
0.2365, -0.0211, 0.2369, -0.0094, 0.4567
0.2873, -0.0226, 0.2558, -0.0077, 0.4731
0.3407, -0.0238, 0.2684, -0.0061, 0.4900
0.3957, -0.0247, 0.2767, -0.0046, 0.5064
0.4515, -0.0254, 0.2805, -0.0033, 0.5230
0.5072, -0.0258, 0.2804, -0.0021, 0.5396
0.5623, -0.0259, 0.2772, -0.0004, 0.5428
0.5740, -0.0259, 0.2765, -0.0001, 0.5600
0.6285, -0.0256, 0.2743, 0.0013, 0.5761
0.6828, -0.0250, 0.2731, 0.0030, 0.5928
0.7359, -0.0240, 0.2673, 0.0050, 0.6093
0.7868, -0.0225, 0.2558, 0.0077, 0.6259
0.8345, -0.0204, 0.2399, 0.0103, 0.6425
0.8705, -0.0183, 0.1810, 0.0109, 0.6587
0.8977, -0.0161, 0.1371, 0.0111, 0.6751
0.9185, -0.0139, 0.1044, 0.0109, 0.6918
0.9344, -0.0118, 0.0799, 0.0106, 0.6940
0.9366, -0.0115, 0.0772, 0.0105, 0.7108
0.9484, -0.0095, 0.0595, 0.0100, 0.7131
0.9502, -0.0092, 0.0575, 0.0099, 0.7299
0.9590, -0.0074, 0.0446, 0.0093, 0.7464
0.9660, -0.0056, 0.0349, 0.0086, 0.7486
0.9669, -0.0054, 0.0339, 0.0085, 0.7653
0.9723, -0.0038, 0.0267, 0.0079, 0.7820
0.9765, -0.0024, 0.0213, 0.0073, 0.7988
0.9799, -0.0010, 0.0172, 0.0072, 0.8152
0.9827, 0.0004, 0.0140, 0.0070, 0.8320
0.9850, 0.0018, 0.0115, 0.0068, 0.8486
0.9869, 0.0031, 0.0095, 0.0067, 0.8651
0.9866, 0.0044, -0.0013, 0.0066, 0.8817
0.9797, 0.0059, -0.0348, 0.0074, 0.8983
0.9629, 0.0075, -0.0843, 0.0079, 0.9147
0.9339, 0.0090, -0.1459, 0.0076, 0.9181
0.9277, 0.0093, -0.1588, 0.0075, 0.9348
0.8820, 0.0107, -0.2298, 0.0069, 0.9512
0.8228, 0.0119, -0.2976, 0.0063, 0.9678
0.7504, 0.0132, -0.3642, 0.0063, 0.9844
0.6654, 0.0144, -0.4265, 0.0061, 1.0009
0.5694, 0.0155, -0.4843, 0.0058, 1.0175
0.4628, 0.0166, -0.5363, 0.0054, 1.0340
0.3470, 0.0174, -0.5826, 0.0043, 1.0506
0.2232, 0.0181, -0.6224, 0.0033, 1.0672
0.0929, 0.0184, -0.6557, 0.0017, 1.0838
-0.0429, 0.0185, -0.6829, 0.0004, 1.1004
-0.1798, 0.0183, -0.6887, -0.0009, 1.1169
-0.3143, 0.0182, -0.6765, -0.0009, 1.1333
-0.4434, 0.0182, -0.6496, 0.0003, 1.1368
-0.4694, 0.0183, -0.6417, 0.0008, 1.1533
-0.5889, 0.0192, -0.6012, 0.0046, 1.1556
