Position x, Position y, Velocity x, Velocity y
0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0.0000, 0.0000, 0.0000, 0.0000, 0.0135
0.0000, 0.0000, 0.0000, 0.0000, 0.0154
0.0000, 0.0000, 0.0000, 0.0000, 0.0321
0.0000, 0.0000, 0.0000, 0.0000, 0.0487
0.0000, 0.0000, 0.0000, 0.0000, 0.0503
0.0000, 0.0000, 0.0000, 0.0000, 0.0669
0.0000, 0.0000, 0.0000, 0.0000, 0.0836
0.0000, 0.0000, 0.0000, 0.0000, 0.0857
0.0000, 0.0000, 0.0000, 0.0000, 0.1025
0.0000, 0.0000, 0.0000, 0.0000, 0.1194
0.0001, 0.0000, 0.0006, 0.0000, 0.1217
0.0001, 0.0000, 0.0007, 0.0000, 0.1383
0.0004, 0.0000, 0.0011, 0.0000, 0.1402
0.0004, 0.0000, 0.0011, 0.0000, 0.1566
0.0006, 0.0000, 0.0013, 0.0000, 0.1734
0.0009, 0.0000, 0.0014, 0.0000, 0.1769
0.0010, 0.0000, 0.0015, 0.0000, 0.1933
0.0014, 0.0000, 0.0022, 0.0000, 0.1956
0.0015, 0.0000, 0.0022, 0.0000, 0.2124
0.0020, 0.0000, 0.0025, 0.0000, 0.2148
0.0021, 0.0000, 0.0026, 0.0000, 0.2316
0.0026, 0.0000, 0.0027, 0.0000, 0.2338
0.0027, 0.0000, 0.0027, 0.0000, 0.2505
0.0032, 0.0000, 0.0027, 0.0000, 0.2674
0.0039, 0.0000, 0.0033, 0.0000, 0.2691
0.0039, 0.0000, 0.0034, 0.0000, 0.2859
0.0049, 0.0000, 0.0049, 0.0000, 0.3021
0.0061, 0.0000, 0.0058, 0.0000, 0.3043
0.0062, 0.0000, 0.0058, 0.0000, 0.3211
0.0075, 0.0000, 0.0062, 0.0000, 0.3378
0.0088, 0.0000, 0.0070, 0.0000, 0.3545
0.0104, 0.0000, 0.0079, 0.0000, 0.3708
0.0121, 0.0000, 0.0083, 0.0000, 0.3892
0.0138, 0.0000, 0.0084, 0.0000, 0.4040
0.0155, 0.0000, 0.0089, 0.0000, 0.4053
0.0157, 0.0000, 0.0089, 0.0000, 0.4222
0.0176, 0.0000, 0.0096, 0.0000, 0.4386
0.0196, 0.0000, 0.0098, 0.0000, 0.4407
0.0198, 0.0000, 0.0099, 0.0000, 0.4571
0.0219, 0.0000, 0.0104, 0.0000, 0.4738
0.0239, 0.0000, 0.0104, 0.0000, 0.4750
0.0241, 0.0000, 0.0104, 0.0000, 0.4917
0.0261, 0.0000, 0.0102, 0.0000, 0.5083
0.0281, 0.0000, 0.0098, 0.0000, 0.5248
0.0299, 0.0000, 0.0093, 0.0000, 0.5262
0.0301, 0.0000, 0.0093, 0.0000, 0.5429
0.0319, 0.0000, 0.0093, 0.0000, 0.5598
0.0338, 0.0000, 0.0097, 0.0000, 0.5759
0.0358, 0.0000, 0.0097, 0.0000, 0.5769
0.0359, 0.0000, 0.0097, 0.0000, 0.5938
0.0378, 0.0000, 0.0095, 0.0000, 0.6102
0.0396, 0.0000, 0.0091, 0.0000, 0.6269
0.0413, 0.0000, 0.0086, 0.0000, 0.6290
0.0416, 0.0000, 0.0085, 0.0000, 0.6458
0.0432, 0.0000, 0.0080, 0.0000, 0.6478
0.0434, 0.0000, 0.0079, 0.0000, 0.6645
0.0448, 0.0000, 0.0074, 0.0000, 0.6811
0.0462, 0.0000, 0.0068, 0.0000, 0.6832
0.0464, 0.0000, 0.0067, 0.0000, 0.6999
0.0476, 0.0000, 0.0062, 0.0000, 0.7164
0.0487, 0.0000, 0.0057, 0.0000, 0.7186
0.0489, 0.0000, 0.0057, 0.0000, 0.7352
0.0500, 0.0000, 0.0058, 0.0000, 0.7518
0.0512, 0.0000, 0.0057, 0.0000, 0.7533
0.0513, 0.0000, 0.0057, 0.0000, 0.7700
0.0524, 0.0000, 0.0055, 0.0000, 0.7869
0.0536, 0.0000, 0.0059, 0.0000, 0.7893
0.0538, 0.0000, 0.0059, 0.0000, 0.8060
0.0550, 0.0000, 0.0060, 0.0000, 0.8084
0.0551, 0.0000, 0.0059, 0.0000, 0.8252
0.0563, 0.0000, 0.0058, 0.0000, 0.8417
0.0574, 0.0000, 0.0056, 0.0000, 0.8584
0.0586, 0.0000, 0.0059, 0.0000, 0.8748
0.0598, 0.0000, 0.0060, 0.0000, 0.8914
0.0610, 0.0000, 0.0059, 0.0000, 0.9083
0.0622, 0.0000, 0.0063, 0.0000, 0.9105
0.0624, 0.0000, 0.0063, 0.0000, 0.9273
0.0637, 0.0000, 0.0064, 0.0000, 0.9290
0.0638, 0.0000, 0.0064, -0.0001, 0.9457
0.0652, -0.0001, 0.0069, -0.0007, 0.9626
0.0667, -0.0003, 0.0077, -0.0011, 0.9649
0.0670, -0.0004, 0.0078, -0.0011, 1.0042
0.0686, -0.0006, 0.0080, -0.0013, 1.0062
0.0710, -0.0011, 0.0080, -0.0015, 1.0226
0.0725, -0.0014, 0.0077, -0.0015, 1.0242
0.0727, -0.0014, 0.0077, -0.0015, 1.0410
0.0741, -0.0017, 0.0073, -0.0014, 1.0431
0.0743, -0.0017, 0.0072, -0.0014, 1.0598
0.0757, -0.0020, 0.0068, -0.0014, 1.0611
0.0758, -0.0020, 0.0068, -0.0014, 1.0776
0.0772, -0.0023, 0.0069, -0.0013, 1.0947
0.0786, -0.0025, 0.0075, -0.0012, 1.1109
0.0802, -0.0027, 0.0077, -0.0011, 1.1130
0.0804, -0.0027, 0.0076, -0.0011, 1.1298
0.0819, -0.0029, 0.0076, -0.0010, 1.1466
0.0834, -0.0031, 0.0079, -0.0009, 1.1486
0.0837, -0.0032, 0.0079, -0.0009, 1.1656
0.0853, -0.0035, 0.0080, -0.0015, 1.1677
0.0855, -0.0035, 0.0079, -0.0015, 1.1844
0.0870, -0.0039, 0.0077, -0.0018, 1.2011
0.0885, -0.0043, 0.0074, -0.0020, 1.2038
0.0888, -0.0043, 0.0073, -0.0020, 1.2205
0.0901, -0.0047, 0.0069, -0.0020, 1.2214
0.0902, -0.0048, 0.0069, -0.0020, 1.2380
0.0915, -0.0052, 0.0064, -0.0020, 1.2548
0.0927, -0.0055, 0.0060, -0.0019, 1.2713
0.0938, -0.0059, 0.0055, -0.0019, 1.2731
0.0939, -0.0060, 0.0055, -0.0018, 1.2897
0.0949, -0.0063, 0.0050, -0.0017, 1.3064
0.0958, -0.0066, 0.0046, -0.0016, 1.3092
