Position x, Position y, Velocity x, Velocity y
-1.0000, 0.0099, 0.0000, 0.0000, 0.0000
-1.0000, 0.0099, 0.0000, 0.0000, 0.0153
-1.0000, 0.0099, 0.0000, 0.0000, 0.0162
-1.0000, 0.0099, 0.0000, 0.0000, 0.0329
-1.0000, 0.0099, 0.0000, 0.0000, 0.0338
-1.0000, 0.0099, 0.0000, 0.0000, 0.0507
-1.0000, 0.0099, 0.0000, 0.0000, 0.0671
-1.0000, 0.0099, 0.0000, 0.0000, 0.0837
-1.0000, 0.0099, 0.0000, 0.0000, 0.0853
-1.0000, 0.0099, 0.0000, 0.0000, 0.1021
-1.0000, 0.0099, 0.0000, 0.0000, 0.1185
-1.0000, 0.0099, 0.0000, 0.0000, 0.1194
-1.0000, 0.0099, 0.0000, 0.0000, 0.1362
-1.0000, 0.0099, 0.0000, 0.0000, 0.1528
-1.0000, 0.0099, 0.0000, 0.0000, 0.1697
-1.0000, 0.0099, 0.0000, 0.0000, 0.1726
-0.9999, 0.0099, 0.0002, 0.0000, 0.1894
-0.9995, 0.0099, 0.0020, 0.0000, 0.1925
-0.9994, 0.0099, 0.0024, 0.0000, 0.2090
-0.9987, 0.0099, 0.0040, 0.0000, 0.2123
-0.9985, 0.0099, 0.0043, 0.0001, 0.2286
-0.9973, 0.0101, 0.0058, 0.0007, 0.2310
-0.9972, 0.0101, 0.0059, 0.0008, 0.2481
-0.9957, 0.0103, 0.0073, 0.0011, 0.2512
-0.9954, 0.0104, 0.0076, 0.0012, 0.2676
-0.9936, 0.0106, 0.0089, 0.0014, 0.2708
-0.9933, 0.0107, 0.0091, 0.0014, 0.2870
-0.9913, 0.0110, 0.0102, 0.0015, 0.2903
-0.9909, 0.0110, 0.0105, 0.0015, 0.3068
-0.9885, 0.0113, 0.0121, 0.0015, 0.3091
-0.9881, 0.0114, 0.0122, 0.0015, 0.3256
-0.9856, 0.0116, 0.0129, 0.0014, 0.3292
-0.9851, 0.0117, 0.0131, 0.0014, 0.3452
-0.9824, 0.0120, 0.0137, 0.0014, 0.3484
-0.9819, 0.0120, 0.0138, 0.0014, 0.3646
-0.9790, 0.0123, 0.0145, 0.0013, 0.3677
-0.9785, 0.0123, 0.0146, 0.0013, 0.3841
-0.9755, 0.0125, 0.0152, 0.0012, 0.3867
-0.9750, 0.0126, 0.0152, 0.0012, 0.4039
-0.9719, 0.0128, 0.0157, 0.0011, 0.4200
-0.9688, 0.0130, 0.0157, 0.0010, 0.4231
-0.9682, 0.0130, 0.0158, 0.0009, 0.4395
