Position x, Position y, Velocity x, Velocity y
1.0000, 0.0000, 0.0000, 0.0000, 0.0000
1.0000, 0.0000, 0.0000, 0.0000, 0.0134
1.0000, 0.0000, 0.0000, 0.0000, 0.0300
1.0000, 0.0000, 0.0000, 0.0000, 0.0465
1.0000, 0.0000, 0.0000, 0.0000, 0.0631
1.0000, 0.0000, 0.0000, 0.0000, 0.0797
1.0000, 0.0000, 0.0000, 0.0000, 0.0816
1.0000, 0.0000, 0.0000, 0.0000, 0.0984
1.0000, 0.0000, 0.0000, 0.0000, 0.1148
1.0000, 0.0000, 0.0000, 0.0000, 0.1166
1.0000, 0.0000, 0.0000, 0.0000, 0.1334
1.0000, 0.0000, 0.0000, 0.0000, 0.1500
1.0000, 0.0000, 0.0000, 0.0000, 0.1519
1.0000, 0.0000, 0.0000, 0.0000, 0.1686
1.0000, 0.0000, 0.0000, 0.0000, 0.1851
1.0000, 0.0000, 0.0000, 0.0000, 0.1871
1.0000, 0.0000, 0.0000, 0.0000, 0.2038
1.0000, 0.0000, 0.0000, 0.0000, 0.2204
1.0000, 0.0000, 0.0000, 0.0000, 0.2232
1.0000, 0.0000, 0.0000, 0.0000, 0.2397
1.0000, 0.0000, 0.0000, 0.0000, 0.2426
1.0000, 0.0000, 0.0000, 0.0000, 0.2590
1.0000, 0.0000, 0.0000, 0.0000, 0.2618
1.0000, 0.0000, -0.0001, 0.0000, 0.2782
0.9999, 0.0000, -0.0007, 0.0000, 0.2803
0.9998, 0.0000, -0.0007, 0.0000, 0.2969
0.9996, 0.0000, -0.0011, 0.0000, 0.3139
0.9992, 0.0000, -0.0019, 0.0000, 0.3162
0.9992, 0.0000, -0.0020, 0.0000, 0.3329
0.9987, 0.0000, -0.0025, 0.0000, 0.3359
0.9986, 0.0000, -0.0026, 0.0000, 0.3523
0.9979, 0.0000, -0.0035, 0.0000, 0.3555
0.9978, 0.0000, -0.0036, 0.0000, 0.3719
0.9968, 0.0000, -0.0046, 0.0000, 0.3740
0.9967, 0.0000, -0.0047, 0.0000, 0.3908
0.9957, 0.0000, -0.0052, 0.0000, 0.4073
0.9946, 0.0000, -0.0054, 0.0000, 0.4104
0.9944, 0.0000, -0.0056, 0.0000, 0.4268
0.9932, 0.0000, -0.0061, 0.0000, 0.4289
0.9930, 0.0000, -0.0062, 0.0000, 0.4457
0.9917, 0.0000, -0.0064, 0.0000, 0.4622
0.9905, 0.0000, -0.0063, 0.0000, 0.4644
0.9903, 0.0000, -0.0063, 0.0000, 0.4815
0.9890, 0.0000, -0.0067, 0.0000, 0.4988
0.9876, 0.0000, -0.0069, 0.0000, 0.5141
0.9863, 0.0000, -0.0068, 0.0000, 0.5309
0.9850, 0.0000, -0.0066, 0.0000, 0.5478
0.9835, 0.0000, -0.0075, 0.0000, 0.5641
0.9819, 0.0000, -0.0079, 0.0000, 0.5809
0.9802, 0.0000, -0.0086, 0.0000, 0.5970
0.9784, 0.0000, -0.0089, 0.0000, 0.6140
0.9765, 0.0000, -0.0095, 0.0000, 0.6307
0.9744, 0.0000, -0.0109, 0.0000, 0.6331
0.9740, 0.0000, -0.0110, 0.0000, 0.6503
0.9715, 0.0000, -0.0122, 0.0000, 0.6524
0.9711, 0.0000, -0.0123, 0.0000, 0.6695
0.9685, 0.0000, -0.0133, 0.0000, 0.6717
0.9681, 0.0000, -0.0134, 0.0000, 0.6885
0.9653, 0.0000, -0.0137, 0.0000, 0.6906
0.9649, 0.0000, -0.0137, 0.0000, 0.7077
0.9621, 0.0000, -0.0141, 0.0000, 0.7239
0.9594, 0.0000, -0.0140, 0.0000, 0.7271
0.9588, 0.0000, -0.0141, 0.0000, 0.7436
0.9560, 0.0000, -0.0142, 0.0000, 0.7457
0.9556, 0.0000, -0.0142, 0.0000, 0.7624
0.9528, 0.0000, -0.0139, 0.0000, 0.7793
0.9501, 0.0000, -0.0140, 0.0000, 0.7815
0.9496, 0.0000, -0.0140, 0.0000, 0.7983
0.9469, 0.0000, -0.0136, 0.0000, 0.8007
0.9465, 0.0000, -0.0136, 0.0000, 0.8174
0.9439, 0.0000, -0.0130, 0.0000, 0.8198
0.9435, 0.0000, -0.0129, 0.0000, 0.8364
0.9411, 0.0000, -0.0121, 0.0000, 0.8535
0.9387, 0.0000, -0.0120, 0.0000, 0.8559
0.9383, 0.0000, -0.0119, 0.0000, 0.8726
0.9360, 0.0000, -0.0115, 0.0000, 0.8747
0.9357, 0.0000, -0.0114, 0.0000, 0.8914
0.9335, 0.0000, -0.0108, 0.0000, 0.8936
0.9332, 0.0000, -0.0107, 0.0000, 0.9107
0.9311, 0.0000, -0.0107, 0.0000, 0.9269
0.9290, 0.0000, -0.0104, 0.0000, 0.9292
0.9288, 0.0000, -0.0103, 0.0000, 0.9460
0.9268, 0.0000, -0.0098, 0.0000, 0.9625
0.9249, 0.0000, -0.0093, 0.0000, 0.9648
0.9247, 0.0000, -0.0092, 0.0000, 0.9816
0.9230, 0.0000, -0.0086, 0.0000, 0.9837
0.9227, 0.0000, -0.0085, 0.0000, 1.0005
0.9211, 0.0000, -0.0079, 0.0000, 1.0172
0.9196, 0.0000, -0.0079, 0.0000, 1.0195
0.9193, 0.0000, -0.0079, 0.0000, 1.0362
0.9177, 0.0000, -0.0083, 0.0000, 1.0385
0.9175, 0.0000, -0.0083, 0.0000, 1.0549
0.9158, 0.0000, -0.0083, 0.0000, 1.0717
0.9142, 0.0000, -0.0082, 0.0000, 1.0747
0.9139, 0.0000, -0.0082, 0.0000, 1.0911
0.9122, 0.0000, -0.0085, 0.0000, 1.0933
0.9120, 0.0000, -0.0085, 0.0000, 1.1101
0.9103, 0.0000, -0.0084, 0.0000, 1.1270
0.9086, 0.0000, -0.0087, 0.0000, 1.1432
0.9068, 0.0000, -0.0088, 0.0000, 1.1596
0.9051, 0.0000, -0.0086, 0.0000, 1.1765
0.9033, 0.0000, -0.0089, 0.0000, 1.1929
0.9016, 0.0000, -0.0088, 0.0000, 1.1951
0.9013, 0.0000, -0.0088, 0.0000, 1.2119
0.8996, 0.0000, -0.0085, 0.0000, 1.2140
0.8994, 0.0000, -0.0085, 0.0000, 1.2311
0.8977, 0.0000, -0.0087, 0.0000, 1.2477
0.8958, 0.0000, -0.0093, 0.0000, 1.2506
0.8955, 0.0000, -0.0094, 0.0000, 1.2671
0.8935, 0.0000, -0.0101, 0.0000, 1.2692
0.8932, 0.0000, -0.0101, 0.0000, 1.2860
0.8912, 0.0000, -0.0103, 0.0000, 1.2897
0.8907, 0.0000, -0.0104, 0.0000, 1.3065
0.8886, -0.0001, -0.0107, -0.0006, 1.3231
0.8863, -0.0003, -0.0114, -0.0010, 1.3396
