Ruslan.vsk Ruslan Cal 03.csv
frame_id   2830, param1 -044, param2 -036
frame_id   2831, param1 -043, param2 -071
frame_id   2832, param1 -043, param2 -095
frame_id   2833, param1 -040, param2 -114
frame_id   2834, param1 -039, param2 -115
frame_id   2835, param1 -039, param2 -113
frame_id   2836, param1 -039, param2 -107
frame_id   2837, param1 -039, param2 -103
frame_id   2838, param1 -039, param2 -097
frame_id   2839, param1 -039, param2 -090
frame_id   2840, param1 -039, param2 -084
frame_id   2841, param1 -039, param2 -078
frame_id   2842, param1 -040, param2 -073
frame_id   2843, param1 -041, param2 -067
frame_id   2844, param1 -042, param2 -061
frame_id   2845, param1 -042, param2 -055
frame_id   2846, param1 -043, param2 -051
frame_id   2847, param1 -044, param2 -047
frame_id   2848, param1 -045, param2 -042
frame_id   2849, param1 -045, param2 -052
frame_id   2850, param1 -046, param2 -049
frame_id   2851, param1 -047, param2 -044
frame_id   2852, param1 -048, param2 -038
frame_id   2893, param1 -074, param2 -130
frame_id   2894, param1 -074, param2 -121
frame_id   2895, param1 -074, param2 -115
frame_id   2896, param1 -074, param2 -115
frame_id   2897, param1 -074, param2 -115
frame_id   2898, param1 -074, param2 -115
frame_id   2899, param1 -074, param2 -115
frame_id   2900, param1 -074, param2 -115
frame_id   2901, param1 -074, param2 -115
frame_id   2902, param1 -074, param2 -115
frame_id   2903, param1 -074, param2 -115
frame_id   2904, param1 -074, param2 -114
frame_id   2905, param1 -074, param2 -115
frame_id   2906, param1 -074, param2 -115
frame_id   2907, param1 -073, param2 -115
frame_id   2908, param1 -073, param2 -115
frame_id   2909, param1 -073, param2 -115
frame_id   2910, param1 -073, param2 -115
frame_id   2911, param1 -073, param2 -115
frame_id   2912, param1 -072, param2 -115
frame_id   2913, param1 -072, param2 -115
frame_id   2914, param1 -072, param2 -115
frame_id   2915, param1 -071, param2 -152
frame_id   2916, param1 -070, param2 -155
frame_id   2917, param1 -070, param2 -155
frame_id   2918, param1 -069, param2 -155
frame_id   2919, param1 -069, param2 -156
frame_id   2920, param1 -069, param2 -156
frame_id   2921, param1 -068, param2 -156
frame_id   2922, param1 -068, param2 -156
frame_id   2923, param1 -067, param2 -156
frame_id   2924, param1 -067, param2 -156
frame_id   2925, param1 -067, param2 -156
frame_id   2926, param1 -066, param2 -156
frame_id   2927, param1 -066, param2 -157
frame_id   2928, param1 -066, param2 -157
frame_id   2929, param1 -065, param2 -157
frame_id   2930, param1 -065, param2 -157
frame_id   2931, param1 -065, param2 -157
frame_id   2932, param1 -065, param2 -157
frame_id   2933, param1 -065, param2 -157
frame_id   2934, param1 -065, param2 -157
frame_id   2935, param1 -064, param2 -156
frame_id   2936, param1 -064, param2 -155
frame_id   2937, param1 -064, param2 -154
frame_id   2938, param1 -066, param2 -110
frame_id   2939, param1 -067, param2 -108
frame_id   2940, param1 -067, param2 -108
frame_id   2941, param1 -068, param2 -108
frame_id   2942, param1 -068, param2 -109
frame_id   2943, param1 -069, param2 -109
frame_id   2944, param1 -069, param2 -110
frame_id   2945, param1 -070, param2 -111
frame_id   2946, param1 -071, param2 -112
frame_id   2947, param1 -072, param2 -113
frame_id   2948, param1 -073, param2 -113
frame_id   2949, param1 -074, param2 -114
frame_id   2950, param1 -075, param2 -114
frame_id   2951, param1 -075, param2 -117
frame_id   2952, param1 -076, param2 -117
frame_id   2953, param1 -077, param2 -118
frame_id   2954, param1 -077, param2 -120
frame_id   2955, param1 -078, param2 -120
frame_id   2956, param1 -079, param2 -122
frame_id   2957, param1 -080, param2 -123
frame_id   2958, param1 -080, param2 -124
frame_id   2959, param1 -081, param2 -126
frame_id   2960, param1 -081, param2 -127
frame_id   2961, param1 -082, param2 -129
frame_id   2962, param1 -082, param2 -131
frame_id   2963, param1 -083, param2 -133
frame_id   2964, param1 -083, param2 -136
frame_id   2965, param1 -084, param2 -138
frame_id   2966, param1 -084, param2 -141
frame_id   2967, param1 -085, param2 -143
frame_id   2968, param1 -085, param2 -145
frame_id   2969, param1 -086, param2 -147
frame_id   2970, param1 -086, param2 -149
frame_id   2971, param1 -087, param2 -150
frame_id   2972, param1 -087, param2 -151
frame_id   2973, param1 -088, param2 -152
frame_id   2974, param1 -088, param2 -153
frame_id   2975, param1 -089, param2 -155
frame_id   2976, param1 -090, param2 -156
frame_id   2977, param1 -090, param2 -157
frame_id   2978, param1 -091, param2 -159
frame_id   2979, param1 -091, param2 -160
frame_id   2980, param1 -092, param2 -161
frame_id   2981, param1 -093, param2 -161
frame_id   2982, param1 -093, param2 -162
frame_id   2983, param1 -094, param2 -163
frame_id   2984, param1 -094, param2 -163
frame_id   2985, param1 -095, param2 -164
frame_id   2986, param1 -095, param2 -165
frame_id   2987, param1 -096, param2 -165
frame_id   2988, param1 -096, param2 -166
frame_id   2989, param1 -096, param2 -167
frame_id   2990, param1 -097, param2 -167
frame_id   2991, param1 -097, param2 -167
frame_id   2992, param1 -097, param2 -168
frame_id   2993, param1 -097, param2 -168
frame_id   2994, param1 -099, param2 -169
frame_id   2995, param1 -099, param2 -169
frame_id   2996, param1 -099, param2 -169
frame_id   2997, param1 -100, param2 -170
frame_id   2998, param1 -099, param2 -169
frame_id   2999, param1 -100, param2 -171
frame_id   3000, param1 -101, param2 -171
frame_id   3001, param1 -101, param2 -172
frame_id   3002, param1 -101, param2 -172
frame_id   3003, param1 -102, param2 -173
frame_id   3004, param1 -102, param2 -173
frame_id   3005, param1 -102, param2 -173
frame_id   3006, param1 -103, param2 -173
frame_id   3007, param1 -103, param2 -174
frame_id   3008, param1 -104, param2 -174
frame_id   3009, param1 -099, param2 -238
frame_id   3010, param1 -098, param2 -248
frame_id   3011, param1 -098, param2 -249
frame_id   3012, param1 -098, param2 -250
frame_id   3013, param1 -099, param2 -250
frame_id   3014, param1 -099, param2 -250
frame_id   3015, param1 -099, param2 -250
frame_id   3016, param1 -100, param2 -250
frame_id   3017, param1 -100, param2 -250
frame_id   3018, param1 -100, param2 -250
frame_id   3019, param1 -100, param2 -250
frame_id   3020, param1 -100, param2 -250
frame_id   3021, param1 -100, param2 -250
frame_id   3022, param1 -100, param2 -250
frame_id   3023, param1 -100, param2 -250
frame_id   3024, param1 -100, param2 -250
frame_id   3025, param1 -100, param2 -250
frame_id   3026, param1 -100, param2 -250
frame_id   3027, param1 -100, param2 -250
frame_id   3028, param1 -099, param2 -250
frame_id   3029, param1 -099, param2 -250
frame_id   3030, param1 -099, param2 -251
frame_id   3031, param1 -111, param2 -178
frame_id   3032, param1 -111, param2 -176
frame_id   3033, param1 -110, param2 -176
frame_id   3034, param1 -110, param2 -176
frame_id   3035, param1 -110, param2 -177
frame_id   3036, param1 -109, param2 -177
frame_id   3037, param1 -108, param2 -177
frame_id   3038, param1 -108, param2 -178
frame_id   3039, param1 -107, param2 -178
frame_id   3040, param1 -106, param2 -178
frame_id   3041, param1 -106, param2 -178
frame_id   3042, param1 -104, param2 -178
frame_id   3043, param1 -104, param2 -178
frame_id   3044, param1 -103, param2 -178
frame_id   3045, param1 -098, param2 -179
frame_id   3046, param1 -097, param2 -181
frame_id   3047, param1 -097, param2 -189
frame_id   3048, param1 -096, param2 -197
frame_id   3049, param1 -097, param2 -196
frame_id   3050, param1 -092, param2 -187
frame_id   3051, param1 -088, param2 -190
frame_id   3052, param1 -087, param2 -187
frame_id   3053, param1 -099, param2 -185
frame_id   3054, param1 -096, param2 -184
frame_id   3055, param1 -095, param2 -185
frame_id   3056, param1 -094, param2 -187
frame_id   3057, param1 -082, param2 -049
frame_id   3058, param1 -069, param2 -138
frame_id   3059, param1 -067, param2 -181
frame_id   3060, param1 -063, param2 -214
frame_id   3061, param1 -062, param2 -214
frame_id   3062, param1 -064, param2 -193
frame_id   3063, param1 -065, param2 -134
frame_id   3064, param1 -063, param2 -071
frame_id   3065, param1 -061, param2 -071
frame_id   3066, param1 -059, param2 -078
frame_id   3067, param1 -058, param2 -082
frame_id   3068, param1 -057, param2 -087
frame_id   3069, param1 -056, param2 -090
frame_id   3070, param1 -054, param2 -096
frame_id   3071, param1 -054, param2 -103
frame_id   3072, param1 -053, param2 -107
frame_id   3073, param1 -053, param2 -109
frame_id   3074, param1 -053, param2 -126
frame_id   3075, param1 -053, param2 -093
frame_id   3076, param1 -051, param2 -084
frame_id   3077, param1 -050, param2 -087
frame_id   3078, param1 -052, param2 -083
frame_id   3079, param1 -053, param2 -066
frame_id   3080, param1 -052, param2 -060
frame_id   3127, param1 -055, param2 -176
frame_id   3128, param1 -055, param2 -165
frame_id   3129, param1 -056, param2 -163
frame_id   3130, param1 -057, param2 -162
frame_id   3131, param1 -058, param2 -160
frame_id   3132, param1 -059, param2 -159
frame_id   3133, param1 -060, param2 -157
frame_id   3134, param1 -061, param2 -156
frame_id   3135, param1 -062, param2 -154
frame_id   3136, param1 -063, param2 -153
frame_id   3137, param1 -064, param2 -152
frame_id   3138, param1 -065, param2 -151
frame_id   3139, param1 -066, param2 -150
frame_id   3140, param1 -066, param2 -150
frame_id   3141, param1 -067, param2 -149
frame_id   3142, param1 -068, param2 -148
frame_id   3143, param1 -069, param2 -147
frame_id   3144, param1 -070, param2 -147
frame_id   3145, param1 -069, param2 -149
frame_id   3146, param1 -070, param2 -150
frame_id   3147, param1 -068, param2 -143
frame_id   3148, param1 -070, param2 -144
frame_id   3149, param1 -072, param2 -144
frame_id   3150, param1 -073, param2 -144
frame_id   3151, param1 -074, param2 -143
frame_id   3152, param1 -075, param2 -142
frame_id   3153, param1 -076, param2 -142
frame_id   3154, param1 -077, param2 -142
frame_id   3155, param1 -078, param2 -141
frame_id   3156, param1 -079, param2 -141
frame_id   3157, param1 -080, param2 -141
frame_id   3158, param1 -081, param2 -141
frame_id   3159, param1 -082, param2 -140
frame_id   3160, param1 -083, param2 -140
frame_id   3161, param1 -084, param2 -140
frame_id   3162, param1 -085, param2 -140
frame_id   3163, param1 -086, param2 -140
frame_id   3164, param1 -087, param2 -139
frame_id   3165, param1 -087, param2 -139
frame_id   3166, param1 -088, param2 -139
frame_id   3167, param1 -089, param2 -139
frame_id   3168, param1 -089, param2 -139
frame_id   3169, param1 -089, param2 -139
